sampleOverall,sampleIndiv,GC,normcov
BGISEQ500_LAB01_Father_REP01,BGISEQ500_LAB01_Father_REP01-lane01,0,1.958010
BGISEQ500_LAB01_Father_REP01,BGISEQ500_LAB01_Father_REP01-lane01,1,0.120972
BGISEQ500_LAB01_Father_REP01,BGISEQ500_LAB01_Father_REP01-lane01,2,0.138049
BGISEQ500_LAB01_Father_REP01,BGISEQ500_LAB01_Father_REP01-lane01,3,0.302032
BGISEQ500_LAB01_Father_REP01,BGISEQ500_LAB01_Father_REP01-lane01,4,0.209995
BGISEQ500_LAB01_Father_REP01,BGISEQ500_LAB01_Father_REP01-lane01,5,0.315115
BGISEQ500_LAB01_Father_REP01,BGISEQ500_LAB01_Father_REP01-lane01,6,0.513241
BGISEQ500_LAB01_Father_REP01,BGISEQ500_LAB01_Father_REP01-lane01,7,1.001859
BGISEQ500_LAB01_Father_REP01,BGISEQ500_LAB01_Father_REP01-lane01,8,0.713118
BGISEQ500_LAB01_Father_REP01,BGISEQ500_LAB01_Father_REP01-lane01,9,0.851114
BGISEQ500_LAB01_Father_REP01,BGISEQ500_LAB01_Father_REP01-lane01,10,0.864563
BGISEQ500_LAB01_Father_REP01,BGISEQ500_LAB01_Father_REP01-lane01,11,0.988370
BGISEQ500_LAB01_Father_REP01,BGISEQ500_LAB01_Father_REP01-lane01,12,1.005817
BGISEQ500_LAB01_Father_REP01,BGISEQ500_LAB01_Father_REP01-lane01,13,0.925414
BGISEQ500_LAB01_Father_REP01,BGISEQ500_LAB01_Father_REP01-lane01,14,0.957546
BGISEQ500_LAB01_Father_REP01,BGISEQ500_LAB01_Father_REP01-lane01,15,0.944461
BGISEQ500_LAB01_Father_REP01,BGISEQ500_LAB01_Father_REP01-lane01,16,0.909945
BGISEQ500_LAB01_Father_REP01,BGISEQ500_LAB01_Father_REP01-lane01,17,0.927020
BGISEQ500_LAB01_Father_REP01,BGISEQ500_LAB01_Father_REP01-lane01,18,0.946280
BGISEQ500_LAB01_Father_REP01,BGISEQ500_LAB01_Father_REP01-lane01,19,0.958196
BGISEQ500_LAB01_Father_REP01,BGISEQ500_LAB01_Father_REP01-lane01,20,0.960120
BGISEQ500_LAB01_Father_REP01,BGISEQ500_LAB01_Father_REP01-lane01,21,0.973737
BGISEQ500_LAB01_Father_REP01,BGISEQ500_LAB01_Father_REP01-lane01,22,0.964676
BGISEQ500_LAB01_Father_REP01,BGISEQ500_LAB01_Father_REP01-lane01,23,0.965631
BGISEQ500_LAB01_Father_REP01,BGISEQ500_LAB01_Father_REP01-lane01,24,0.956544
BGISEQ500_LAB01_Father_REP01,BGISEQ500_LAB01_Father_REP01-lane01,25,0.945859
BGISEQ500_LAB01_Father_REP01,BGISEQ500_LAB01_Father_REP01-lane01,26,0.944373
BGISEQ500_LAB01_Father_REP01,BGISEQ500_LAB01_Father_REP01-lane01,27,0.940800
BGISEQ500_LAB01_Father_REP01,BGISEQ500_LAB01_Father_REP01-lane01,28,0.942799
BGISEQ500_LAB01_Father_REP01,BGISEQ500_LAB01_Father_REP01-lane01,29,0.947263
BGISEQ500_LAB01_Father_REP01,BGISEQ500_LAB01_Father_REP01-lane01,30,0.950691
BGISEQ500_LAB01_Father_REP01,BGISEQ500_LAB01_Father_REP01-lane01,31,0.956938
BGISEQ500_LAB01_Father_REP01,BGISEQ500_LAB01_Father_REP01-lane01,32,0.968735
BGISEQ500_LAB01_Father_REP01,BGISEQ500_LAB01_Father_REP01-lane01,33,0.983762
BGISEQ500_LAB01_Father_REP01,BGISEQ500_LAB01_Father_REP01-lane01,34,0.998759
BGISEQ500_LAB01_Father_REP01,BGISEQ500_LAB01_Father_REP01-lane01,35,1.016841
BGISEQ500_LAB01_Father_REP01,BGISEQ500_LAB01_Father_REP01-lane01,36,1.033496
BGISEQ500_LAB01_Father_REP01,BGISEQ500_LAB01_Father_REP01-lane01,37,1.043813
BGISEQ500_LAB01_Father_REP01,BGISEQ500_LAB01_Father_REP01-lane01,38,1.054002
BGISEQ500_LAB01_Father_REP01,BGISEQ500_LAB01_Father_REP01-lane01,39,1.058745
BGISEQ500_LAB01_Father_REP01,BGISEQ500_LAB01_Father_REP01-lane01,40,1.054877
BGISEQ500_LAB01_Father_REP01,BGISEQ500_LAB01_Father_REP01-lane01,41,1.047320
