sampleOverall,sampleIndiv,GC,normcov
BGISEQ500_LAB01_Father_REP01,BGISEQ500_LAB01_Father_REP01-lane01,0,116555
BGISEQ500_LAB01_Father_REP01,BGISEQ500_LAB01_Father_REP01-lane01,1,5259
BGISEQ500_LAB01_Father_REP01,BGISEQ500_LAB01_Father_REP01-lane01,2,6979
BGISEQ500_LAB01_Father_REP01,BGISEQ500_LAB01_Father_REP01-lane01,3,19433
BGISEQ500_LAB01_Father_REP01,BGISEQ500_LAB01_Father_REP01-lane01,4,14919
BGISEQ500_LAB01_Father_REP01,BGISEQ500_LAB01_Father_REP01-lane01,5,23076
BGISEQ500_LAB01_Father_REP01,BGISEQ500_LAB01_Father_REP01-lane01,6,42323
BGISEQ500_LAB01_Father_REP01,BGISEQ500_LAB01_Father_REP01-lane01,7,88722
BGISEQ500_LAB01_Father_REP01,BGISEQ500_LAB01_Father_REP01-lane01,8,71865
BGISEQ500_LAB01_Father_REP01,BGISEQ500_LAB01_Father_REP01-lane01,9,95562
BGISEQ500_LAB01_Father_REP01,BGISEQ500_LAB01_Father_REP01-lane01,10,113275
BGISEQ500_LAB01_Father_REP01,BGISEQ500_LAB01_Father_REP01-lane01,11,157358
BGISEQ500_LAB01_Father_REP01,BGISEQ500_LAB01_Father_REP01-lane01,12,207260
BGISEQ500_LAB01_Father_REP01,BGISEQ500_LAB01_Father_REP01-lane01,13,250393
BGISEQ500_LAB01_Father_REP01,BGISEQ500_LAB01_Father_REP01-lane01,14,365686
BGISEQ500_LAB01_Father_REP01,BGISEQ500_LAB01_Father_REP01-lane01,15,529193
BGISEQ500_LAB01_Father_REP01,BGISEQ500_LAB01_Father_REP01-lane01,16,761379
BGISEQ500_LAB01_Father_REP01,BGISEQ500_LAB01_Father_REP01-lane01,17,1164212
BGISEQ500_LAB01_Father_REP01,BGISEQ500_LAB01_Father_REP01-lane01,18,1780862
BGISEQ500_LAB01_Father_REP01,BGISEQ500_LAB01_Father_REP01-lane01,19,2661208
BGISEQ500_LAB01_Father_REP01,BGISEQ500_LAB01_Father_REP01-lane01,20,3850457
BGISEQ500_LAB01_Father_REP01,BGISEQ500_LAB01_Father_REP01-lane01,21,5490414
BGISEQ500_LAB01_Father_REP01,BGISEQ500_LAB01_Father_REP01-lane01,22,7423954
BGISEQ500_LAB01_Father_REP01,BGISEQ500_LAB01_Father_REP01-lane01,23,9861207
BGISEQ500_LAB01_Father_REP01,BGISEQ500_LAB01_Father_REP01-lane01,24,12603941
BGISEQ500_LAB01_Father_REP01,BGISEQ500_LAB01_Father_REP01-lane01,25,15625771
BGISEQ500_LAB01_Father_REP01,BGISEQ500_LAB01_Father_REP01-lane01,26,18998298
BGISEQ500_LAB01_Father_REP01,BGISEQ500_LAB01_Father_REP01-lane01,27,22462045
BGISEQ500_LAB01_Father_REP01,BGISEQ500_LAB01_Father_REP01-lane01,28,26085931
BGISEQ500_LAB01_Father_REP01,BGISEQ500_LAB01_Father_REP01-lane01,29,29712402
