sampleOverall,sampleIndiv,GC,normcov
Genapsys_LAB01_Eco_REP01,Genapsys_LAB01_Eco_REP01,12,15
Genapsys_LAB01_Eco_REP01,Genapsys_LAB01_Eco_REP01,13,37
Genapsys_LAB01_Eco_REP01,Genapsys_LAB01_Eco_REP01,14,105
Genapsys_LAB01_Eco_REP01,Genapsys_LAB01_Eco_REP01,15,245
Genapsys_LAB01_Eco_REP01,Genapsys_LAB01_Eco_REP01,16,370
Genapsys_LAB01_Eco_REP01,Genapsys_LAB01_Eco_REP01,17,682
Genapsys_LAB01_Eco_REP01,Genapsys_LAB01_Eco_REP01,18,852
Genapsys_LAB01_Eco_REP01,Genapsys_LAB01_Eco_REP01,19,1702
Genapsys_LAB01_Eco_REP01,Genapsys_LAB01_Eco_REP01,20,2389
Genapsys_LAB01_Eco_REP01,Genapsys_LAB01_Eco_REP01,21,3810
Genapsys_LAB01_Eco_REP01,Genapsys_LAB01_Eco_REP01,22,4648
Genapsys_LAB01_Eco_REP01,Genapsys_LAB01_Eco_REP01,23,7481
Genapsys_LAB01_Eco_REP01,Genapsys_LAB01_Eco_REP01,24,9336
Genapsys_LAB01_Eco_REP01,Genapsys_LAB01_Eco_REP01,25,12292
Genapsys_LAB01_Eco_REP01,Genapsys_LAB01_Eco_REP01,26,16147
Genapsys_LAB01_Eco_REP01,Genapsys_LAB01_Eco_REP01,27,20510
Genapsys_LAB01_Eco_REP01,Genapsys_LAB01_Eco_REP01,28,26481
Genapsys_LAB01_Eco_REP01,Genapsys_LAB01_Eco_REP01,29,32481
Genapsys_LAB01_Eco_REP01,Genapsys_LAB01_Eco_REP01,30,39017
Genapsys_LAB01_Eco_REP01,Genapsys_LAB01_Eco_REP01,31,45010
Genapsys_LAB01_Eco_REP01,Genapsys_LAB01_Eco_REP01,32,51494
Genapsys_LAB01_Eco_REP01,Genapsys_LAB01_Eco_REP01,33,59446
Genapsys_LAB01_Eco_REP01,Genapsys_LAB01_Eco_REP01,34,69207
Genapsys_LAB01_Eco_REP01,Genapsys_LAB01_Eco_REP01,35,79523
Genapsys_LAB01_Eco_REP01,Genapsys_LAB01_Eco_REP01,36,89745
Genapsys_LAB01_Eco_REP01,Genapsys_LAB01_Eco_REP01,37,98514
Genapsys_LAB01_Eco_REP01,Genapsys_LAB01_Eco_REP01,38,112605
Genapsys_LAB01_Eco_REP01,Genapsys_LAB01_Eco_REP01,39,131091
Genapsys_LAB01_Eco_REP01,Genapsys_LAB01_Eco_REP01,40,153562
Genapsys_LAB01_Eco_REP01,Genapsys_LAB01_Eco_REP01,41,178941
Genapsys_LAB01_Eco_REP01,Genapsys_LAB01_Eco_REP01,42,209115
Genapsys_LAB01_Eco_REP01,Genapsys_LAB01_Eco_REP01,43,246386
Genapsys_LAB01_Eco_REP01,Genapsys_LAB01_Eco_REP01,44,285798
Genapsys_LAB01_Eco_REP01,Genapsys_LAB01_Eco_REP01,45,335473
Genapsys_LAB01_Eco_REP01,Genapsys_LAB01_Eco_REP01,46,389092
Genapsys_LAB01_Eco_REP01,Genapsys_LAB01_Eco_REP01,47,450954
Genapsys_LAB01_Eco_REP01,Genapsys_LAB01_Eco_REP01,48,516566
Genapsys_LAB01_Eco_REP01,Genapsys_LAB01_Eco_REP01,49,581413
Genapsys_LAB01_Eco_REP01,Genapsys_LAB01_Eco_REP01,50,640517
Genapsys_LAB01_Eco_REP01,Genapsys_LAB01_Eco_REP01,51,693830
Genapsys_LAB01_Eco_REP01,Genapsys_LAB01_Eco_REP01,52,726269
