sample,taxon,num,pct
MiSeq_LAB02_Pool_REP01,B_subtilis,143051349,17.881
MiSeq_LAB02_Pool_REP01,C_violaceum,90664865,11.333
MiSeq_LAB02_Pool_REP01,E_faecalis,60839471,7.605
MiSeq_LAB02_Pool_REP01,E_coli,64979348,8.122
MiSeq_LAB02_Pool_REP01,H_halophilus,90151465,11.269
MiSeq_LAB02_Pool_REP01,H_volcanii,29840415,3.73
MiSeq_LAB02_Pool_REP01,M_luteus,50251043,6.281
MiSeq_LAB02_Pool_REP01,P_fluorescens,177340139,22.167
MiSeq_LAB02_Pool_REP01,S_epidermidis,44392208,5.549
MiSeq_LAB02_Pool_REP01,P_haloplanktis,48499624,6.062
MinION_LAB01_Pool_REP01,B_subtilis,519974920,17.666
MinION_LAB01_Pool_REP01,C_violaceum,412186832,14.004
MinION_LAB01_Pool_REP01,E_faecalis,175598674,5.966
MinION_LAB01_Pool_REP01,E_coli,255767284,8.689
MinION_LAB01_Pool_REP01,H_halophilus,277421693,9.425
MinION_LAB01_Pool_REP01,H_volcanii,68157607,2.316
MinION_LAB01_Pool_REP01,M_luteus,224945228,7.642
MinION_LAB01_Pool_REP01,P_fluorescens,749892713,25.477
MinION_LAB01_Pool_REP01,S_epidermidis,92481293,3.142
MinION_LAB01_Pool_REP01,P_haloplanktis,167003723,5.674
Genapsys_LAB02_Pool_REP01,B_subtilis,78669645,15.031
Genapsys_LAB02_Pool_REP01,C_violaceum,58643584,11.205
Genapsys_LAB02_Pool_REP01,E_faecalis,44594006,8.521
Genapsys_LAB02_Pool_REP01,E_coli,66458591,12.698
Genapsys_LAB02_Pool_REP01,H_halophilus,63224564,12.08
Genapsys_LAB02_Pool_REP01,H_volcanii,23296568,4.451
Genapsys_LAB02_Pool_REP01,M_luteus,22256219,4.252
Genapsys_LAB02_Pool_REP01,P_fluorescens,102992151,19.679
Genapsys_LAB02_Pool_REP01,S_epidermidis,32430386,6.196
Genapsys_LAB02_Pool_REP01,P_haloplanktis,30802480,5.885
PGM_LAB02_Pool_REP02,B_subtilis,200657663,13.851
PGM_LAB02_Pool_REP02,C_violaceum,129861783,8.964
PGM_LAB02_Pool_REP02,E_faecalis,158857769,10.966
PGM_LAB02_Pool_REP02,E_coli,189627701,13.09
PGM_LAB02_Pool_REP02,H_halophilus,214117039,14.78
PGM_LAB02_Pool_REP02,H_volcanii,65128960,4.496
PGM_LAB02_Pool_REP02,M_luteus,27523811,1.9
PGM_LAB02_Pool_REP02,P_fluorescens,184595558,12.743
PGM_LAB02_Pool_REP02,S_epidermidis,115363923,7.964
PGM_LAB02_Pool_REP02,P_haloplanktis,162921683,11.246
S5_LAB03_Pool_REP01,B_subtilis,833612998,13.87
S5_LAB03_Pool_REP01,C_violaceum,577592183,9.61
S5_LAB03_Pool_REP01,E_faecalis,608880958,10.131
S5_LAB03_Pool_REP01,E_coli,844377057,14.049
S5_LAB03_Pool_REP01,H_halophilus,862532793,14.352
S5_LAB03_Pool_REP01,H_volcanii,273961133,4.558
S5_LAB03_Pool_REP01,M_luteus,119117873,1.982
