sample,readsTotal,readsProperlyPaired,readsDuplicated,readsMultimap,readsUnmap,errorRate,avgLength,avgQual
BGISEQ500_LAB01_Father_REP01,2521157756,2333396984,65575894,140997651,5838832,4.482141e-03,100,34.4
BGISEQ500_LAB01_Mother_REP01,2363439264,2245976696,66489915,124104598,4336712,5.802928e-03,100,33.9
BGISEQ500_LAB01_Son_REP01,2377447620,2211656948,71424712,135254301,4217976,5.734949e-03,100,34.0
Genapsys_LAB01_Son_REP01,10965732,10310273,1298661,1516068,655459,3.054042e-02,134,24.6
HiSeq2500_LAB01_Father_REP01,903171392,876972852,17067709,46000593,9461258,7.845306e-03,126,33.4
HiSeq2500_LAB01_Mother_REP01,1053740652,1019312762,20910697,50276269,13841495,8.095329e-03,126,33.2
HiSeq2500_LAB01_Son_REP01,885693454,858106592,16896430,45989547,8710061,7.342730e-03,126,33.6
HiSeq2500_LAB01_Son_REP02,846625808,821087400,16212544,43347429,9494479,8.025793e-03,126,33.4
HiSeq2500_LAB01_Son_REP03,1004834256,970974744,20978882,51655015,13679113,7.958681e-03,126,33.3
HiSeq2500_LAB02_Father_REP01,741065492,726893024,15626629,37845535,1643049,5.766115e-03,126,33.9
HiSeq2500_LAB02_Mother_REP01,778165808,763275114,17629615,36711558,1471925,5.892572e-03,126,33.6
HiSeq2500_LAB02_Son_REP01,762871804,747770412,16528165,39292370,1715885,5.472661e-03,126,34.0
HiSeq2500_LAB02_Son_REP02,756353638,740704196,16871170,38589532,1416995,5.920118e-03,126,33.9
HiSeq2500_LAB02_Son_REP03,426721318,417071822,5902749,21663325,1524296,5.275787e-03,126,34.0
HiSeq2500_LAB03_Father_REP01,914065964,899410616,35196653,51483441,2802048,4.634739e-03,100,35.0
HiSeq2500_LAB03_Mother_REP01,904054924,887988182,36757543,47182029,3183832,4.694336e-03,100,34.7
HiSeq2500_LAB03_Son_REP01,686800000,671907970,17936196,38459658,3161952,4.353742e-03,100,35.1
HiSeq2500_LAB03_Son_REP02,916427728,901273062,36264972,51479599,3092076,4.937942e-03,100,34.8
HiSeq4000_LAB01_Father_REP01,657559340,640756544,32246079,33357255,1163842,7.163576e-03,151,37.2
HiSeq4000_LAB01_Mother_REP01,674310686,658148312,30260022,32095656,1258364,7.281574e-03,151,37.2
HiSeq4000_LAB01_Son_REP01,609308668,583787640,42106248,32252398,3054409,9.180035e-03,151,35.9
HiSeq4000_LAB01_Son_REP02,651562228,629149682,44840888,32818120,1967743,8.043638e-03,151,36.7
HiSeq4000_LAB01_Son_REP03,673841682,656465176,49901672,34333011,1469952,7.687299e-03,151,37.1
HiSeq4000_LAB02_Father_REP01,1179685086,1151929956,100227815,57675004,4670164,6.947537e-03,151,37.3
HiSeq4000_LAB02_Mother_REP01,1449294650,1411284526,122778390,67133959,5595365,6.657931e-03,151,37.3
HiSeq4000_LAB02_Son_REP01,759199170,741672136,61833936,37582452,2371808,6.026283e-03,151,37.7
HiSeq4000_LAB02_Son_REP02,985573336,961333172,86469037,48118384,3526845,6.627532e-03,151,37.5
HiSeq4000_LAB02_Son_REP03,1115582094,1090690612,94336703,55379272,3227518,6.874329e-03,151,37.4
HiSeq4000_LAB03_Father_REP01,1242923476,1199624284,254914457,62661900,6612766,7.583872e-03,151,37.4
HiSeq4000_LAB03_Mother_REP01,1435162262,1386652370,283767225,68230350,9055533,7.436831e-03,151,37.2
HiSeq4000_LAB03_Son_REP01,766909658,740749316,142233253,39021215,4490654,7.534185e-03,151,37.1
HiSeq4000_LAB03_Son_REP02,1076048578,1034321108,215473995,53776862,6710243,7.550361e-03,151,37.4
HiSeq4000_LAB03_Son_REP03,1159080888,1111158282,229004303,58927021,5471108,8.160508e-03,151,37.1
HiSeqX10_LAB01_Father_REP01,975956036,933120152,82664940,50303074,9224631,7.878182e-03,151,27.8
HiSeqX10_LAB01_Mother_REP01,969299474,928170916,82075481,46548772,6304670,7.702055e-03,151,27.9
HiSeqX10_LAB01_Son_REP01,978828352,928214646,103484572,51495834,12767635,7.383417e-03,151,28.2
HiSeqX10_LAB01_Son_REP02,975533878,924546420,108420756,50682064,9381959,7.553708e-03,151,27.9
HiSeqX10_LAB01_Son_REP03,958000870,914220794,100052878,49545665,4127929,6.771066e-03,151,27.7
HiSeqX10_LAB02_Father_REP01,886841872,867346898,62589148,42538293,2866520,6.310491e-03,151,39.2
HiSeqX10_LAB02_Mother_REP01,827695422,803984410,72252452,37927499,7188480,7.529355e-03,151,38.5
