sample,context,error
BGISEQ500_LAB01_Father_REP01,Alu,6.778789e-03
BGISEQ500_LAB01_Father_REP01,L1,4.276906e-03
BGISEQ500_LAB01_Father_REP01,L2,4.914346e-03
BGISEQ500_LAB01_Father_REP01,lowcomplexity,1.241927e-02
BGISEQ500_LAB01_Father_REP01,LTR,4.543036e-03
BGISEQ500_LAB01_Father_REP01,satellite,3.643535e-02
BGISEQ500_LAB01_Father_REP01,simplerepeat,2.274401e-02
BGISEQ500_LAB01_Mother_REP01,Alu,9.258037e-03
BGISEQ500_LAB01_Mother_REP01,L1,5.814020e-03
BGISEQ500_LAB01_Mother_REP01,L2,7.070587e-03
BGISEQ500_LAB01_Mother_REP01,lowcomplexity,1.648844e-02
BGISEQ500_LAB01_Mother_REP01,LTR,6.392427e-03
BGISEQ500_LAB01_Mother_REP01,satellite,3.783301e-02
BGISEQ500_LAB01_Mother_REP01,simplerepeat,2.708286e-02
BGISEQ500_LAB01_Son_REP01,Alu,8.767135e-03
BGISEQ500_LAB01_Son_REP01,L1,5.580200e-03
BGISEQ500_LAB01_Son_REP01,L2,6.645704e-03
BGISEQ500_LAB01_Son_REP01,lowcomplexity,1.544265e-02
BGISEQ500_LAB01_Son_REP01,LTR,6.112840e-03
BGISEQ500_LAB01_Son_REP01,satellite,3.765441e-02
BGISEQ500_LAB01_Son_REP01,simplerepeat,2.499842e-02
Genapsys_LAB01_Son_REP01,Alu,5.338311e-02
Genapsys_LAB01_Son_REP01,L1,3.678637e-02
Genapsys_LAB01_Son_REP01,L2,4.547757e-02
Genapsys_LAB01_Son_REP01,lowcomplexity,1.108841e-01
Genapsys_LAB01_Son_REP01,LTR,3.949433e-02
Genapsys_LAB01_Son_REP01,satellite,4.389296e-02
Genapsys_LAB01_Son_REP01,simplerepeat,7.845273e-02
HiSeq2500_LAB01_Father_REP01,Alu,1.504098e-02
HiSeq2500_LAB01_Father_REP01,L1,8.061181e-03
HiSeq2500_LAB01_Father_REP01,L2,9.544296e-03
HiSeq2500_LAB01_Father_REP01,lowcomplexity,2.454548e-02
HiSeq2500_LAB01_Father_REP01,LTR,8.544822e-03
HiSeq2500_LAB01_Father_REP01,satellite,4.316783e-02
HiSeq2500_LAB01_Father_REP01,simplerepeat,3.311334e-02
HiSeq2500_LAB01_Mother_REP01,Alu,1.563099e-02
HiSeq2500_LAB01_Mother_REP01,L1,8.586126e-03
HiSeq2500_LAB01_Mother_REP01,L2,1.022734e-02
HiSeq2500_LAB01_Mother_REP01,lowcomplexity,2.579031e-02
HiSeq2500_LAB01_Mother_REP01,LTR,9.111348e-03
HiSeq2500_LAB01_Mother_REP01,satellite,4.484661e-02
HiSeq2500_LAB01_Mother_REP01,simplerepeat,3.634771e-02
HiSeq2500_LAB01_Son_REP01,Alu,1.368820e-02
HiSeq2500_LAB01_Son_REP01,L1,7.614623e-03
HiSeq2500_LAB01_Son_REP01,L2,8.827787e-03
HiSeq2500_LAB01_Son_REP01,lowcomplexity,2.383559e-02
HiSeq2500_LAB01_Son_REP01,LTR,7.886514e-03
HiSeq2500_LAB01_Son_REP01,satellite,4.322233e-02
HiSeq2500_LAB01_Son_REP01,simplerepeat,3.256410e-02
HiSeq2500_LAB01_Son_REP02,Alu,1.533884e-02
HiSeq2500_LAB01_Son_REP02,L1,8.215637e-03
HiSeq2500_LAB01_Son_REP02,L2,9.774731e-03
HiSeq2500_LAB01_Son_REP02,lowcomplexity,2.481226e-02
HiSeq2500_LAB01_Son_REP02,LTR,8.760110e-03
HiSeq2500_LAB01_Son_REP02,satellite,4.419445e-02
HiSeq2500_LAB01_Son_REP02,simplerepeat,3.331410e-02
HiSeq2500_LAB01_Son_REP03,Alu,1.486549e-02
HiSeq2500_LAB01_Son_REP03,L1,8.260367e-03
HiSeq2500_LAB01_Son_REP03,L2,9.679989e-03
HiSeq2500_LAB01_Son_REP03,lowcomplexity,2.510772e-02
HiSeq2500_LAB01_Son_REP03,LTR,8.618043e-03
HiSeq2500_LAB01_Son_REP03,satellite,4.391517e-02
HiSeq2500_LAB01_Son_REP03,simplerepeat,3.339849e-02
HiSeq2500_LAB02_Father_REP01,Alu,1.129318e-02
HiSeq2500_LAB02_Father_REP01,L1,5.483326e-03
HiSeq2500_LAB02_Father_REP01,L2,6.340086e-03
HiSeq2500_LAB02_Father_REP01,lowcomplexity,1.809650e-02
HiSeq2500_LAB02_Father_REP01,LTR,5.810342e-03
