sample,precision,sensitivity,fmeasure
BGISEQ500_LAB01_Father_REP01,0.9982,0.9896,0.9939
BGISEQ500_LAB01_Mother_REP01,0.9982,0.9893,0.9937
BGISEQ500_LAB01_Son_REP01,0.9982,0.9887,0.9934
HiSeq2500_LAB01_Father_REP01,0.9952,0.9846,0.9899
HiSeq2500_LAB01_Mother_REP01,0.9945,0.9842,0.9893
HiSeq2500_LAB01_Son_REP01,0.9954,0.9841,0.9897
HiSeq2500_LAB01_Son_REP02,0.9953,0.9840,0.9896
HiSeq2500_LAB01_Son_REP03,0.9949,0.9855,0.9902
HiSeq2500_LAB02_Father_REP01,0.9945,0.9849,0.9897
HiSeq2500_LAB02_Mother_REP01,0.9945,0.9838,0.9892
HiSeq2500_LAB02_Son_REP01,0.9946,0.9844,0.9895
HiSeq2500_LAB02_Son_REP02,0.9943,0.9841,0.9892
HiSeq2500_LAB02_Son_REP03,0.9909,0.9688,0.9797
HiSeq2500_LAB03_Father_REP01,0.9954,0.9840,0.9896
HiSeq2500_LAB03_Mother_REP01,0.9953,0.9833,0.9893
HiSeq2500_LAB03_Son_REP01,0.9942,0.9790,0.9865
HiSeq2500_LAB03_Son_REP02,0.9954,0.9831,0.9892
HiSeq2500_LAB03_Son_REP03,0.9873,0.9381,0.9620
HiSeq4000_LAB01_Father_REP01,0.9955,0.9892,0.9923
HiSeq4000_LAB01_Mother_REP01,0.9955,0.9883,0.9919
HiSeq4000_LAB01_Son_REP01,0.9937,0.9826,0.9881
HiSeq4000_LAB01_Son_REP02,0.9956,0.9885,0.9920
HiSeq4000_LAB01_Son_REP03,0.9953,0.9886,0.9919
HiSeq4000_LAB02_Father_REP01,0.9960,0.9915,0.9937
HiSeq4000_LAB02_Mother_REP01,0.9964,0.9914,0.9939
HiSeq4000_LAB02_Son_REP01,0.9964,0.9911,0.9937
HiSeq4000_LAB02_Son_REP02,0.9964,0.9915,0.9939
HiSeq4000_LAB02_Son_REP03,0.9965,0.9916,0.9941
HiSeq4000_LAB03_Father_REP01,0.9946,0.9908,0.9927
HiSeq4000_LAB03_Mother_REP01,0.9953,0.9906,0.9929
HiSeq4000_LAB03_Son_REP01,0.9953,0.9905,0.9929
HiSeq4000_LAB03_Son_REP02,0.9954,0.9907,0.9931
HiSeq4000_LAB03_Son_REP03,0.9953,0.9911,0.9932
HiSeqX10_LAB01_Father_REP01,0.9977,0.9948,0.9963
HiSeqX10_LAB01_Mother_REP01,0.9982,0.9947,0.9964
HiSeqX10_LAB01_Son_REP01,0.9980,0.9941,0.9960
HiSeqX10_LAB01_Son_REP02,0.9983,0.9943,0.9963
HiSeqX10_LAB01_Son_REP03,0.9982,0.9939,0.9960
HiSeqX10_LAB02_Father_REP01,0.9978,0.9946,0.9962
HiSeqX10_LAB02_Mother_REP01,0.9979,0.9942,0.9961
HiSeqX10_LAB02_Son_REP01,0.9981,0.9940,0.9960
HiSeqX10_LAB02_Son_REP02,0.9980,0.9945,0.9962
HiSeqX10_LAB02_Son_REP03,0.9983,0.9943,0.9963
MGISEQ2000_LAB01_Father_REP01,0.9982,0.9949,0.9965
MGISEQ2000_LAB01_Mother_REP01,0.9979,0.9936,0.9958
MGISEQ2000_LAB01_Mother_REP02,0.9984,0.9935,0.9959
MGISEQ2000_LAB01_Son_REP01,0.9984,0.9946,0.9965
NovaSeq2x150_LAB01_Father_REP01,0.9984,0.9956,0.9970
NovaSeq2x150_LAB01_Mother_REP01,0.9983,0.9953,0.9968
NovaSeq2x150_LAB01_Son_REP01,0.9985,0.9952,0.9968
NovaSeq2x150_LAB02_Father_REP01,0.9981,0.9953,0.9967
NovaSeq2x150_LAB02_Mother_REP01,0.9982,0.9949,0.9966
NovaSeq2x150_LAB02_Son_REP01,0.9975,0.9939,0.9957
NovaSeq2x250_LAB02_Father_REP01,0.9982,0.9966,0.9974
NovaSeq2x250_LAB02_Mother_REP01,0.9983,0.9965,0.9974
NovaSeq2x250_LAB02_Son_REP01,0.9982,0.9965,0.9973
PacBio_LAB01_Son_REP01-10kb,0.9903,0.9598,0.9748
PacBio_LAB02_Son_REP01-11kb,0.9946,0.9589,0.9765
PacBio_LAB03_Son_REP01-15kb20kb,0.9952,0.9620,0.9783
PromethION_LAB01_Son_REP01,0.9270,0.8274,0.8743
PromethION_LAB02_Son_REP01,0.9291,0.8299,0.8767
PromethION_LAB03_Son_REP01,0.8940,0.8276,0.8595
