length,delete,insert,indel,platform
1,190249,186493,0,BGISEQ500
2,62805,61702,0,BGISEQ500
3,23202,22156,0,BGISEQ500
4,37684,36206,0,BGISEQ500
5,9485,8660,1,BGISEQ500
6,10268,8726,0,BGISEQ500
7,2504,2048,0,BGISEQ500
8,7436,6702,0,BGISEQ500
9,2109,1810,0,BGISEQ500
10,2792,2602,0,BGISEQ500
11,1090,892,0,BGISEQ500
12,3061,2682,0,BGISEQ500
13,859,643,0,BGISEQ500
14,1318,1014,0,BGISEQ500
15,922,637,0,BGISEQ500
16,1289,1057,0,BGISEQ500
17,451,366,0,BGISEQ500
18,725,461,0,BGISEQ500
19,377,234,0,BGISEQ500
20,684,417,0,BGISEQ500
21,263,168,0,BGISEQ500
22,395,164,0,BGISEQ500
23,213,100,0,BGISEQ500
24,385,179,0,BGISEQ500
25,195,66,0,BGISEQ500
26,233,57,0,BGISEQ500
27,139,36,0,BGISEQ500
28,173,66,0,BGISEQ500
29,90,29,0,BGISEQ500
30,153,36,0,BGISEQ500
31,94,15,0,BGISEQ500
32,101,25,0,BGISEQ500
33,47,20,0,BGISEQ500
34,73,19,0,BGISEQ500
35,46,11,0,BGISEQ500
36,63,12,0,BGISEQ500
37,49,9,0,BGISEQ500
38,40,11,0,BGISEQ500
39,45,6,0,BGISEQ500
40,45,10,0,BGISEQ500
41,34,6,0,BGISEQ500
42,41,9,0,BGISEQ500
43,28,11,0,BGISEQ500
44,33,5,0,BGISEQ500
45,18,6,0,BGISEQ500
46,23,3,0,BGISEQ500
47,8,0,0,BGISEQ500
48,21,4,0,BGISEQ500
1,192737,188394,0,BGISEQ500
2,63661,62742,0,BGISEQ500
3,23399,22619,0,BGISEQ500
4,37779,36507,0,BGISEQ500
5,9515,8701,0,BGISEQ500
6,10268,8687,1,BGISEQ500
7,2587,2037,0,BGISEQ500
8,7497,6556,0,BGISEQ500
9,2138,1763,0,BGISEQ500
10,2956,2576,0,BGISEQ500
11,1147,888,0,BGISEQ500
12,3173,2746,0,BGISEQ500
13,824,628,0,BGISEQ500
14,1277,910,0,BGISEQ500
15,816,605,0,BGISEQ500
16,1322,967,0,BGISEQ500
17,428,314,0,BGISEQ500
18,739,426,0,BGISEQ500
19,408,207,0,BGISEQ500
20,703,340,0,BGISEQ500
21,278,144,0,BGISEQ500
22,352,120,0,BGISEQ500
23,208,88,0,BGISEQ500
24,401,157,0,BGISEQ500
25,177,64,0,BGISEQ500
26,205,58,0,BGISEQ500
27,149,44,0,BGISEQ500
28,165,62,0,BGISEQ500
29,90,23,0,BGISEQ500
30,151,25,0,BGISEQ500
31,103,18,0,BGISEQ500
32,115,21,0,BGISEQ500
33,46,20,0,BGISEQ500
34,65,11,0,BGISEQ500
35,49,12,0,BGISEQ500
36,80,11,0,BGISEQ500
37,29,8,0,BGISEQ500
38,43,10,0,BGISEQ500
39,33,10,0,BGISEQ500
40,41,13,0,BGISEQ500
41,27,5,0,BGISEQ500
42,39,3,0,BGISEQ500
43,27,3,0,BGISEQ500
44,32,3,0,BGISEQ500
45,17,3,0,BGISEQ500
46,20,2,0,BGISEQ500
47,16,3,0,BGISEQ500
48,19,5,0,BGISEQ500
49,2,0,0,BGISEQ500
1,193900,190385,0,BGISEQ500
2,65656,63916,0,BGISEQ500
3,23722,22625,0,BGISEQ500
4,39795,38187,0,BGISEQ500
5,9801,8895,0,BGISEQ500
6,10713,9314,0,BGISEQ500
7,2690,2081,0,BGISEQ500
8,8179,7193,0,BGISEQ500
9,2221,1900,0,BGISEQ500
10,3226,2917,0,BGISEQ500
11,1133,905,0,BGISEQ500
12,3476,2949,0,BGISEQ500
13,898,666,0,BGISEQ500
14,1502,1025,0,BGISEQ500
15,964,680,0,BGISEQ500
16,1554,1101,0,BGISEQ500
17,489,347,0,BGISEQ500
18,836,479,0,BGISEQ500
19,390,238,0,BGISEQ500
20,865,443,0,BGISEQ500
21,309,175,0,BGISEQ500
22,452,147,0,BGISEQ500
23,256,94,0,BGISEQ500
24,492,179,0,BGISEQ500
25,220,65,0,BGISEQ500
26,258,65,0,BGISEQ500
27,171,39,0,BGISEQ500
28,268,65,0,BGISEQ500
29,116,37,0,BGISEQ500
30,197,42,0,BGISEQ500
31,107,22,0,BGISEQ500
32,148,35,0,BGISEQ500
33,59,21,0,BGISEQ500
34,109,13,0,BGISEQ500
35,61,14,0,BGISEQ500
36,102,14,0,BGISEQ500
37,53,12,0,BGISEQ500
38,62,6,0,BGISEQ500
39,54,7,0,BGISEQ500
40,56,10,0,BGISEQ500
41,37,7,0,BGISEQ500
42,47,9,0,BGISEQ500
43,26,5,0,BGISEQ500
44,49,2,0,BGISEQ500
45,28,3,0,BGISEQ500
46,35,3,0,BGISEQ500
47,14,1,0,BGISEQ500
48,26,3,0,BGISEQ500
49,23,3,0,BGISEQ500
50,0,0,0,BGISEQ500
51,0,0,0,BGISEQ500
52,0,0,0,BGISEQ500
53,0,0,0,BGISEQ500
54,0,0,0,BGISEQ500
55,0,0,0,BGISEQ500
56,0,0,0,BGISEQ500
57,2,0,0,BGISEQ500
58,0,0,0,BGISEQ500
59,0,0,0,BGISEQ500
60,2,0,0,BGISEQ500
61,0,0,0,BGISEQ500
62,2,0,0,BGISEQ500
1,182763,179077,0,HiSeq2500
2,58326,56555,0,HiSeq2500
3,21746,20626,0,HiSeq2500
4,36686,34674,0,HiSeq2500
5,9115,8324,1,HiSeq2500
6,9630,7754,0,HiSeq2500
7,2334,1911,0,HiSeq2500
8,7089,6124,0,HiSeq2500
9,1962,1787,0,HiSeq2500
10,2693,2302,0,HiSeq2500
11,1062,892,0,HiSeq2500
12,3024,2514,0,HiSeq2500
13,833,686,0,HiSeq2500
14,1263,882,0,HiSeq2500
15,902,705,0,HiSeq2500
16,1249,1069,0,HiSeq2500
17,442,451,0,HiSeq2500
18,704,504,0,HiSeq2500
19,378,364,0,HiSeq2500
20,660,515,0,HiSeq2500
21,262,328,0,HiSeq2500
22,386,241,0,HiSeq2500
23,212,188,0,HiSeq2500
24,374,326,0,HiSeq2500
25,193,149,0,HiSeq2500
26,221,166,0,HiSeq2500
27,137,138,0,HiSeq2500
28,176,131,0,HiSeq2500
29,88,86,0,HiSeq2500
30,151,105,0,HiSeq2500
31,93,73,0,HiSeq2500
32,105,75,0,HiSeq2500
33,50,55,0,HiSeq2500
34,71,50,0,HiSeq2500
35,44,34,0,HiSeq2500
36,64,44,0,HiSeq2500
37,48,39,0,HiSeq2500
38,39,28,0,HiSeq2500
39,47,17,0,HiSeq2500
40,43,29,0,HiSeq2500
41,33,22,0,HiSeq2500
42,37,22,0,HiSeq2500
43,27,6,0,HiSeq2500
44,35,9,0,HiSeq2500
45,18,9,0,HiSeq2500
46,25,8,0,HiSeq2500
47,9,6,0,HiSeq2500
48,20,9,0,HiSeq2500
49,0,0,0,HiSeq2500
50,0,0,0,HiSeq2500
51,0,0,0,HiSeq2500
52,0,0,0,HiSeq2500
53,0,0,0,HiSeq2500
54,0,0,0,HiSeq2500
55,0,0,0,HiSeq2500
56,0,0,0,HiSeq2500
57,0,0,0,HiSeq2500
58,0,0,0,HiSeq2500
59,0,0,0,HiSeq2500
60,0,0,0,HiSeq2500
61,0,0,0,HiSeq2500
62,0,0,0,HiSeq2500
63,0,0,0,HiSeq2500
64,0,0,0,HiSeq2500
65,0,0,0,HiSeq2500
66,0,0,0,HiSeq2500
67,0,1,0,HiSeq2500
1,183906,180293,0,HiSeq2500
2,58657,56909,0,HiSeq2500
3,21711,20795,0,HiSeq2500
4,36565,34867,0,HiSeq2500
5,9127,8362,0,HiSeq2500
6,9524,7775,1,HiSeq2500
7,2353,1894,0,HiSeq2500
8,7054,5993,0,HiSeq2500
9,1992,1731,0,HiSeq2500
10,2791,2301,0,HiSeq2500
11,1098,915,0,HiSeq2500
12,3105,2605,0,HiSeq2500
13,789,683,0,HiSeq2500
14,1223,834,0,HiSeq2500
15,810,699,0,HiSeq2500
16,1315,1020,0,HiSeq2500
17,412,430,0,HiSeq2500
18,717,463,0,HiSeq2500
19,398,349,0,HiSeq2500
20,681,467,0,HiSeq2500
21,279,292,0,HiSeq2500
22,349,239,0,HiSeq2500
23,207,214,0,HiSeq2500
24,394,294,0,HiSeq2500
25,187,149,0,HiSeq2500
26,202,149,0,HiSeq2500
27,147,128,0,HiSeq2500
28,172,156,0,HiSeq2500
29,94,79,0,HiSeq2500
30,157,87,0,HiSeq2500
31,98,72,0,HiSeq2500
32,110,66,0,HiSeq2500
33,49,46,0,HiSeq2500
34,66,37,0,HiSeq2500
35,57,41,0,HiSeq2500
36,75,47,0,HiSeq2500
37,31,39,0,HiSeq2500
38,45,28,0,HiSeq2500
39,34,22,0,HiSeq2500
40,37,21,0,HiSeq2500
41,32,21,0,HiSeq2500
42,35,16,0,HiSeq2500
43,25,9,0,HiSeq2500
