sample,precision,sensitivity,fmeasure
BGISEQ500_LAB01_Father_REP01,0.9983,0.9892,0.9937
BGISEQ500_LAB01_Mother_REP01,0.9984,0.9895,0.9939
BGISEQ500_LAB01_Son_REP01,0.9985,0.9890,0.9937
HiSeq2500_LAB01_Father_REP01,0.9953,0.9838,0.9895
HiSeq2500_LAB01_Mother_REP01,0.9956,0.9837,0.9896
HiSeq2500_LAB01_Son_REP01,0.9962,0.9846,0.9903
HiSeq2500_LAB01_Son_REP02,0.9951,0.9855,0.9903
HiSeq2500_LAB01_Son_REP03,0.9950,0.9855,0.9902
HiSeq2500_LAB02_Father_REP01,0.9950,0.9842,0.9896
HiSeq2500_LAB02_Mother_REP01,0.9952,0.9841,0.9896
HiSeq2500_LAB02_Son_REP01,0.9951,0.9848,0.9899
HiSeq2500_LAB02_Son_REP02,0.9946,0.9844,0.9895
HiSeq2500_LAB02_Son_REP03,0.9915,0.9698,0.9805
HiSeq2500_LAB03_Father_REP01,0.9956,0.9840,0.9898
HiSeq2500_LAB03_Mother_REP01,0.9957,0.9836,0.9896
HiSeq2500_LAB03_Son_REP01,0.9947,0.9792,0.9869
HiSeq2500_LAB03_Son_REP02,0.9956,0.9835,0.9895
HiSeq2500_LAB03_Son_REP03,0.9879,0.9382,0.9624
HiSeq4000_LAB01_Father_REP01,0.9960,0.9890,0.9925
HiSeq4000_LAB01_Mother_REP01,0.9965,0.9888,0.9926
HiSeq4000_LAB01_Son_REP01,0.9943,0.9824,0.9883
HiSeq4000_LAB01_Son_REP02,0.9958,0.9883,0.9921
HiSeq4000_LAB01_Son_REP03,0.9960,0.9881,0.9920
HiSeq4000_LAB02_Father_REP01,0.9967,0.9906,0.9936
HiSeq4000_LAB02_Mother_REP01,0.9969,0.9915,0.9942
HiSeq4000_LAB02_Son_REP01,0.9968,0.9908,0.9938
HiSeq4000_LAB02_Son_REP02,0.9974,0.9905,0.9939
HiSeq4000_LAB02_Son_REP03,0.9969,0.9916,0.9942
HiSeq4000_LAB03_Father_REP01,0.9950,0.9901,0.9926
HiSeq4000_LAB03_Mother_REP01,0.9957,0.9901,0.9929
HiSeq4000_LAB03_Son_REP01,0.9961,0.9904,0.9932
HiSeq4000_LAB03_Son_REP02,0.9959,0.9906,0.9933
HiSeq4000_LAB03_Son_REP03,0.9958,0.9909,0.9934
HiSeqX10_LAB01_Father_REP01,0.9981,0.9937,0.9959
HiSeqX10_LAB01_Mother_REP01,0.9985,0.9944,0.9965
HiSeqX10_LAB01_Son_REP01,0.9983,0.9940,0.9961
HiSeqX10_LAB01_Son_REP02,0.9989,0.9942,0.9966
HiSeqX10_LAB01_Son_REP03,0.9988,0.9936,0.9962
HiSeqX10_LAB02_Father_REP01,0.9982,0.9937,0.9960
HiSeqX10_LAB02_Mother_REP01,0.9984,0.9938,0.9961
HiSeqX10_LAB02_Son_REP01,0.9980,0.9938,0.9959
HiSeqX10_LAB02_Son_REP02,0.9986,0.9945,0.9965
HiSeqX10_LAB02_Son_REP03,0.9983,0.9944,0.9964
MGISEQ2000_LAB01_Father_REP01,0.9984,0.9939,0.9961
MGISEQ2000_LAB01_Mother_REP01,0.9975,0.9937,0.9956
MGISEQ2000_LAB01_Mother_REP02,0.9982,0.9938,0.9960
MGISEQ2000_LAB01_Son_REP01,0.9986,0.9944,0.9965
NovaSeq2x150_LAB01_Father_REP01,0.9984,0.9948,0.9966
NovaSeq2x150_LAB01_Mother_REP01,0.9989,0.9946,0.9967
NovaSeq2x150_LAB01_Son_REP01,0.9987,0.9950,0.9968
NovaSeq2x150_LAB02_Father_REP01,0.9984,0.9944,0.9964
NovaSeq2x150_LAB02_Mother_REP01,0.9987,0.9942,0.9965
NovaSeq2x150_LAB02_Son_REP01,0.9976,0.9939,0.9957
NovaSeq2x250_LAB02_Father_REP01,0.9982,0.9958,0.9970
NovaSeq2x250_LAB02_Mother_REP01,0.9984,0.9959,0.9971
NovaSeq2x250_LAB02_Son_REP01,0.9989,0.9958,0.9973
PacBio_LAB01_Son_REP01-10kb,0.9906,0.9625,0.9763
PacBio_LAB02_Son_REP01-11kb,0.9947,0.9611,0.9776
PacBio_LAB03_Son_REP01-15kb20kb,0.9956,0.9679,0.9816
PromethION_LAB01_Son_REP01,0.9301,0.8286,0.8764
PromethION_LAB02_Son_REP01,0.9277,0.8340,0.8784
PromethION_LAB03_Son_REP01,0.8951,0.8279,0.8602
