sample,precision,sensitivity,fmeasure
BGISEQ500_LAB01_Father_REP01,0.9852,0.9900,0.9876
BGISEQ500_LAB01_Mother_REP01,0.9857,0.9892,0.9875
BGISEQ500_LAB01_Son_REP01,0.9845,0.9882,0.9863
HiSeq2500_LAB01_Father_REP01,0.9841,0.9792,0.9816
HiSeq2500_LAB01_Mother_REP01,0.9862,0.9804,0.9833
HiSeq2500_LAB01_Son_REP01,0.9838,0.9862,0.9850
HiSeq2500_LAB01_Son_REP02,0.9835,0.9804,0.9819
HiSeq2500_LAB01_Son_REP03,0.9834,0.9850,0.9842
HiSeq2500_LAB02_Father_REP01,0.9787,0.9843,0.9815
HiSeq2500_LAB02_Mother_REP01,0.9815,0.9845,0.9830
HiSeq2500_LAB02_Son_REP01,0.9784,0.9863,0.9824
HiSeq2500_LAB02_Son_REP02,0.9803,0.9816,0.9810
HiSeq2500_LAB02_Son_REP03,0.9790,0.9676,0.9733
HiSeq2500_LAB03_Father_REP01,0.9809,0.9808,0.9808
HiSeq2500_LAB03_Mother_REP01,0.9847,0.9817,0.9832
HiSeq2500_LAB03_Son_REP01,0.9802,0.9809,0.9806
HiSeq2500_LAB03_Son_REP02,0.9824,0.9781,0.9803
HiSeq2500_LAB03_Son_REP03,0.9467,0.9515,0.9491
HiSeq4000_LAB01_Father_REP01,0.9829,0.9886,0.9857
HiSeq4000_LAB01_Mother_REP01,0.9846,0.9874,0.9860
HiSeq4000_LAB01_Son_REP01,0.9816,0.9841,0.9828
HiSeq4000_LAB01_Son_REP02,0.9827,0.9888,0.9857
HiSeq4000_LAB01_Son_REP03,0.9833,0.9871,0.9852
HiSeq4000_LAB02_Father_REP01,0.9832,0.9901,0.9866
HiSeq4000_LAB02_Mother_REP01,0.9854,0.9904,0.9879
HiSeq4000_LAB02_Son_REP01,0.9802,0.9917,0.9859
HiSeq4000_LAB02_Son_REP02,0.9839,0.9905,0.9872
HiSeq4000_LAB02_Son_REP03,0.9821,0.9913,0.9867
HiSeq4000_LAB03_Father_REP01,0.9815,0.9888,0.9851
HiSeq4000_LAB03_Mother_REP01,0.9842,0.9898,0.9870
HiSeq4000_LAB03_Son_REP01,0.9815,0.9905,0.9860
HiSeq4000_LAB03_Son_REP02,0.9820,0.9902,0.9861
HiSeq4000_LAB03_Son_REP03,0.9813,0.9893,0.9853
HiSeqX10_LAB01_Father_REP01,0.9834,0.9928,0.9881
HiSeqX10_LAB01_Mother_REP01,0.9853,0.9926,0.9890
HiSeqX10_LAB01_Son_REP01,0.9829,0.9935,0.9881
HiSeqX10_LAB01_Son_REP02,0.9823,0.9923,0.9873
HiSeqX10_LAB01_Son_REP03,0.9816,0.9932,0.9873
HiSeqX10_LAB02_Father_REP01,0.9844,0.9922,0.9883
HiSeqX10_LAB02_Mother_REP01,0.9872,0.9916,0.9894
