sample,caller,precision,sensitivity,fmeasure
BGISEQ500_LAB01_Father_REP01,dv,0.9976,0.9851,0.9913
BGISEQ500_LAB01_Father_REP01,gatk,0.9923,0.9851,0.9887
BGISEQ500_LAB01_Father_REP01,sen,0.9927,0.9796,0.9861
BGISEQ500_LAB01_Father_REP01,strelka2,0.9972,0.9757,0.9863
BGISEQ500_LAB01_Mother_REP01,dv,0.9977,0.9853,0.9914
BGISEQ500_LAB01_Mother_REP01,gatk,0.9927,0.9849,0.9888
BGISEQ500_LAB01_Mother_REP01,sen,0.9931,0.9796,0.9863
BGISEQ500_LAB01_Mother_REP01,strelka2,0.9973,0.9753,0.9862
BGISEQ500_LAB01_Son_REP01,dv,0.9977,0.9845,0.9911
BGISEQ500_LAB01_Son_REP01,gatk,0.9928,0.9843,0.9885
BGISEQ500_LAB01_Son_REP01,sen,0.9928,0.9783,0.9855
BGISEQ500_LAB01_Son_REP01,strelka2,0.9975,0.9745,0.9859
HiSeq2500_LAB01_Father_REP01,dv,0.9949,0.9825,0.9886
HiSeq2500_LAB01_Father_REP01,gatk,0.9870,0.9717,0.9793
HiSeq2500_LAB01_Father_REP01,sen,0.9900,0.9612,0.9754
HiSeq2500_LAB01_Father_REP01,strelka2,0.9935,0.9687,0.9809
HiSeq2500_LAB01_Mother_REP01,dv,0.9944,0.9826,0.9885
HiSeq2500_LAB01_Mother_REP01,gatk,0.9875,0.9707,0.9790
HiSeq2500_LAB01_Mother_REP01,sen,0.9902,0.9607,0.9752
HiSeq2500_LAB01_Mother_REP01,strelka2,0.9947,0.9675,0.9809
HiSeq2500_LAB01_Son_REP01,dv,0.9953,0.9821,0.9886
HiSeq2500_LAB01_Son_REP01,gatk,0.9868,0.9712,0.9790
HiSeq2500_LAB01_Son_REP01,sen,0.9898,0.9616,0.9755
HiSeq2500_LAB01_Son_REP01,strelka2,0.9928,0.9678,0.9801
HiSeq2500_LAB01_Son_REP02,dv,0.9944,0.9829,0.9887
HiSeq2500_LAB01_Son_REP02,gatk,0.9873,0.9709,0.9790
HiSeq2500_LAB01_Son_REP02,sen,0.9900,0.9602,0.9749
HiSeq2500_LAB01_Son_REP02,strelka2,0.9934,0.9678,0.9804
HiSeq2500_LAB01_Son_REP03,dv,0.9947,0.9835,0.9891
HiSeq2500_LAB01_Son_REP03,gatk,0.9875,0.9719,0.9796
HiSeq2500_LAB01_Son_REP03,sen,0.9901,0.9622,0.9760
HiSeq2500_LAB01_Son_REP03,strelka2,0.9951,0.9688,0.9818
HiSeq2500_LAB02_Father_REP01,dv,0.9943,0.9828,0.9885
HiSeq2500_LAB02_Father_REP01,gatk,0.9845,0.9773,0.9809
HiSeq2500_LAB02_Father_REP01,sen,0.9881,0.9702,0.9791
HiSeq2500_LAB02_Father_REP01,strelka2,0.9929,0.9707,0.9816
HiSeq2500_LAB02_Mother_REP01,dv,0.9945,0.9822,0.9884
HiSeq2500_LAB02_Mother_REP01,gatk,0.9851,0.9764,0.9807
HiSeq2500_LAB02_Mother_REP01,sen,0.9886,0.9690,0.9787
HiSeq2500_LAB02_Mother_REP01,strelka2,0.9944,0.9697,0.9819
HiSeq2500_LAB02_Son_REP01,dv,0.9945,0.9823,0.9884
HiSeq2500_LAB02_Son_REP01,gatk,0.9841,0.9764,0.9803
HiSeq2500_LAB02_Son_REP01,sen,0.9880,0.9692,0.9785
HiSeq2500_LAB02_Son_REP01,strelka2,0.9920,0.9697,0.9807
HiSeq2500_LAB02_Son_REP02,dv,0.9945,0.9823,0.9884
HiSeq2500_LAB02_Son_REP02,gatk,0.9847,0.9764,0.9806
HiSeq2500_LAB02_Son_REP02,sen,0.9880,0.9690,0.9784
HiSeq2500_LAB02_Son_REP02,strelka2,0.9922,0.9696,0.9808
HiSeq2500_LAB02_Son_REP03,dv,0.9911,0.9670,0.9789
HiSeq2500_LAB02_Son_REP03,gatk,0.9808,0.9618,0.9712
HiSeq2500_LAB02_Son_REP03,sen,0.9867,0.9404,0.9630
HiSeq2500_LAB02_Son_REP03,strelka2,0.9806,0.9452,0.9626
