sample,context,precision,sensitivity,fmeasure
BGISEQ500_LAB01_Father_REP01,Alu,0.9974,0.9899,0.9936
BGISEQ500_LAB01_Father_REP01,L1,0.9968,0.9610,0.9786
BGISEQ500_LAB01_Father_REP01,L2,0.9986,0.9938,0.9962
BGISEQ500_LAB01_Father_REP01,lowcomplexity,0.9920,0.9654,0.9786
BGISEQ500_LAB01_Father_REP01,LTR,0.9981,0.9897,0.9939
BGISEQ500_LAB01_Father_REP01,satellite,0.9905,0.9793,0.9849
BGISEQ500_LAB01_Father_REP01,simplerepeat,0.9859,0.9662,0.9759
BGISEQ500_LAB01_Mother_REP01,Alu,0.9977,0.9909,0.9943
BGISEQ500_LAB01_Mother_REP01,L1,0.9970,0.9612,0.9788
BGISEQ500_LAB01_Mother_REP01,L2,0.9988,0.9939,0.9963
BGISEQ500_LAB01_Mother_REP01,lowcomplexity,0.9938,0.9661,0.9797
BGISEQ500_LAB01_Mother_REP01,LTR,0.9984,0.9899,0.9941
BGISEQ500_LAB01_Mother_REP01,satellite,0.9935,0.9500,0.9713
BGISEQ500_LAB01_Mother_REP01,simplerepeat,0.9848,0.9633,0.9740
BGISEQ500_LAB01_Son_REP01,Alu,0.9978,0.9899,0.9938
BGISEQ500_LAB01_Son_REP01,L1,0.9973,0.9605,0.9785
BGISEQ500_LAB01_Son_REP01,L2,0.9990,0.9946,0.9968
BGISEQ500_LAB01_Son_REP01,lowcomplexity,0.9909,0.9476,0.9688
BGISEQ500_LAB01_Son_REP01,LTR,0.9985,0.9899,0.9941
BGISEQ500_LAB01_Son_REP01,satellite,0.9950,0.9807,0.9878
BGISEQ500_LAB01_Son_REP01,simplerepeat,0.9834,0.9568,0.9699
HiSeq2500_LAB01_Father_REP01,Alu,0.9888,0.9620,0.9752
HiSeq2500_LAB01_Father_REP01,L1,0.9961,0.9750,0.9855
HiSeq2500_LAB01_Father_REP01,L2,0.9978,0.9944,0.9961
HiSeq2500_LAB01_Father_REP01,lowcomplexity,0.9848,0.9674,0.9761
HiSeq2500_LAB01_Father_REP01,LTR,0.9971,0.9922,0.9947
