sample,varType,context,count
BGISEQ500_LAB01_Father_REP01,nonSNPs,Alu,101722
BGISEQ500_LAB01_Father_REP01,nonSNPs,L1,79107
BGISEQ500_LAB01_Father_REP01,nonSNPs,L2,10734
BGISEQ500_LAB01_Father_REP01,nonSNPs,lowcomplexity,3725
BGISEQ500_LAB01_Father_REP01,nonSNPs,LTR,28203
BGISEQ500_LAB01_Father_REP01,nonSNPs,satellite,139
BGISEQ500_LAB01_Father_REP01,nonSNPs,simplerepeat,67637
BGISEQ500_LAB01_Father_REP01,SNPs,Alu,414384
BGISEQ500_LAB01_Father_REP01,SNPs,L1,604186
BGISEQ500_LAB01_Father_REP01,SNPs,L2,114717
BGISEQ500_LAB01_Father_REP01,SNPs,lowcomplexity,4617
BGISEQ500_LAB01_Father_REP01,SNPs,LTR,334794
BGISEQ500_LAB01_Father_REP01,SNPs,satellite,1850
BGISEQ500_LAB01_Father_REP01,SNPs,simplerepeat,30762
BGISEQ500_LAB01_Mother_REP01,nonSNPs,Alu,104370
BGISEQ500_LAB01_Mother_REP01,nonSNPs,L1,80041
BGISEQ500_LAB01_Mother_REP01,nonSNPs,L2,10933
BGISEQ500_LAB01_Mother_REP01,nonSNPs,lowcomplexity,3696
BGISEQ500_LAB01_Mother_REP01,nonSNPs,LTR,28524
BGISEQ500_LAB01_Mother_REP01,nonSNPs,satellite,148
BGISEQ500_LAB01_Mother_REP01,nonSNPs,simplerepeat,68223
BGISEQ500_LAB01_Mother_REP01,SNPs,Alu,414382
BGISEQ500_LAB01_Mother_REP01,SNPs,L1,610931
BGISEQ500_LAB01_Mother_REP01,SNPs,L2,115669
BGISEQ500_LAB01_Mother_REP01,SNPs,lowcomplexity,4568
BGISEQ500_LAB01_Mother_REP01,SNPs,LTR,338468
BGISEQ500_LAB01_Mother_REP01,SNPs,satellite,1855
BGISEQ500_LAB01_Mother_REP01,SNPs,simplerepeat,30629
BGISEQ500_LAB01_Son_REP01,nonSNPs,Alu,105423
BGISEQ500_LAB01_Son_REP01,nonSNPs,L1,81271
BGISEQ500_LAB01_Son_REP01,nonSNPs,L2,11038
BGISEQ500_LAB01_Son_REP01,nonSNPs,lowcomplexity,4175
BGISEQ500_LAB01_Son_REP01,nonSNPs,LTR,29007
BGISEQ500_LAB01_Son_REP01,nonSNPs,satellite,248
BGISEQ500_LAB01_Son_REP01,nonSNPs,simplerepeat,74348
BGISEQ500_LAB01_Son_REP01,SNPs,Alu,421830
BGISEQ500_LAB01_Son_REP01,SNPs,L1,609705
BGISEQ500_LAB01_Son_REP01,SNPs,L2,115126
