context,sample,errorRate
Alu,BGISEQ500_LAB01_Father_REP01,6.778789e-03
Alu,BGISEQ500_LAB01_Mother_REP01,9.258037e-03
Alu,BGISEQ500_LAB01_Son_REP01,8.767135e-03
Alu,Genapsys_LAB01_Son_REP01,5.338311e-02
Alu,HiSeq2500_LAB01_Father_REP01,1.504098e-02
Alu,HiSeq2500_LAB01_Mother_REP01,1.563099e-02
Alu,HiSeq2500_LAB01_Son_REP01,1.368820e-02
Alu,HiSeq2500_LAB01_Son_REP02,1.533884e-02
Alu,HiSeq2500_LAB01_Son_REP03,1.486549e-02
Alu,HiSeq2500_LAB02_Father_REP01,1.129318e-02
Alu,HiSeq2500_LAB02_Mother_REP01,1.191107e-02
Alu,HiSeq2500_LAB02_Son_REP01,1.066649e-02
Alu,HiSeq2500_LAB02_Son_REP02,1.162254e-02
Alu,HiSeq2500_LAB03_Father_REP01,8.517785e-03
Alu,HiSeq2500_LAB03_Mother_REP01,8.994429e-03
Alu,HiSeq2500_LAB03_Son_REP02,9.160601e-03
Alu,HiSeq2500_LAB03_Son_REP03,8.472580e-03
Alu,HiSeq4000_LAB01_Father_REP01,1.377509e-02
Alu,HiSeq4000_LAB01_Mother_REP01,1.423239e-02
Alu,HiSeq4000_LAB01_Son_REP02,1.520087e-02
Alu,HiSeq4000_LAB01_Son_REP03,1.433514e-02
Alu,HiSeq4000_LAB02_Father_REP01,1.405563e-02
Alu,HiSeq4000_LAB02_Mother_REP01,1.360636e-02
Alu,HiSeq4000_LAB02_Son_REP01,1.221660e-02
Alu,HiSeq4000_LAB02_Son_REP02,1.354769e-02
Alu,HiSeq4000_LAB02_Son_REP03,1.363562e-02
Alu,HiSeq4000_LAB03_Father_REP01,1.509086e-02
Alu,HiSeq4000_LAB03_Mother_REP01,1.493025e-02
Alu,HiSeq4000_LAB03_Son_REP01,1.465807e-02
Alu,HiSeq4000_LAB03_Son_REP02,1.497581e-02
Alu,HiSeq4000_LAB03_Son_REP03,1.591383e-02
Alu,HiSeqX10_LAB01_Father_REP01,1.410172e-02
Alu,HiSeqX10_LAB01_Mother_REP01,1.415516e-02
Alu,HiSeqX10_LAB01_Son_REP01,1.309808e-02
Alu,HiSeqX10_LAB01_Son_REP02,1.372280e-02
Alu,HiSeqX10_LAB01_Son_REP03,1.193279e-02
Alu,HiSeqX10_LAB02_Father_REP01,1.164432e-02
Alu,HiSeqX10_LAB02_Mother_REP01,1.367478e-02
Alu,HiSeqX10_LAB02_Son_REP01,1.176233e-02
Alu,HiSeqX10_LAB02_Son_REP02,1.151147e-02
Alu,HiSeqX10_LAB02_Son_REP03,1.206159e-02
Alu,MGISEQ2000_LAB01_Father_REP01,1.568608e-02
Alu,MGISEQ2000_LAB01_Mother_REP01,1.681709e-02
Alu,MGISEQ2000_LAB01_Mother_REP02,1.988079e-02
